pid,female,age,us_citizen,high_school,bachelor,employed,wage_hourly,income,renter,rent
1,1,82,1,0,0,0,NA,NA,0,NA
2,1,58,1,1,0,0,NA,NA,0,NA
3,1,18,1,1,0,0,NA,NA,0,NA
4,0,18,1,1,0,0,NA,NA,0,NA
5,0,45,0,0,0,0,NA,NA,0,NA
6,1,67,0,0,0,0,NA,NA,0,NA
7,1,19,1,1,0,0,NA,NA,0,NA
8,1,87,1,0,0,0,NA,NA,0,NA
9,1,70,1,1,0,0,NA,NA,0,NA
10,0,19,1,1,0,0,NA,NA,0,NA
11,0,50,0,0,0,0,NA,NA,0,NA
12,1,95,1,0,0,0,NA,NA,0,NA
13,0,85,1,1,0,0,NA,NA,0,NA
14,1,74,1,1,0,0,NA,NA,0,NA
15,1,74,1,1,1,0,NA,NA,0,NA
16,1,95,1,1,0,0,NA,NA,0,NA
17,0,21,1,1,0,0,NA,NA,0,NA
18,0,38,1,1,0,0,NA,NA,0,NA
19,1,19,1,1,0,0,NA,NA,0,NA
20,1,19,1,1,0,0,NA,NA,0,NA
21,0,52,1,1,0,0,NA,NA,0,NA
22,0,52,1,1,0,0,NA,NA,0,NA
23,0,19,1,1,0,0,NA,NA,0,NA
24,0,21,1,1,0,0,NA,NA,0,NA
25,0,52,1,1,0,0,NA,NA,0,NA
26,1,95,1,1,1,0,NA,NA,0,NA
27,0,48,1,1,1,0,NA,NA,0,NA
28,1,88,1,1,0,0,NA,NA,0,NA
29,1,20,1,1,0,0,NA,NA,0,NA
30,1,95,1,1,0,0,NA,NA,0,NA
31,1,18,1,1,0,0,NA,NA,0,NA
32,0,62,1,1,0,0,NA,NA,0,NA
33,1,95,1,1,0,0,NA,NA,0,NA
34,0,52,1,1,0,0,NA,NA,0,NA
35,0,82,0,1,0,0,NA,NA,0,NA
36,1,67,0,0,0,0,NA,NA,0,NA
37,0,19,1,1,0,0,NA,NA,0,NA
38,0,38,1,1,0,0,NA,NA,0,NA
39,1,18,1,1,0,0,NA,NA,0,NA
40,0,74,1,1,1,0,NA,NA,0,NA
41,0,19,1,1,0,0,NA,NA,0,NA
42,0,51,1,1,0,0,NA,NA,0,NA
43,1,84,1,1,0,0,NA,NA,0,NA
