state,population,packs,income,price
AL,4262731,101.08543395996094,83903280,158.371337890625
AR,2480121,111.04296875,45995496,175.54251098632813
AZ,4306908,71.95417022705078,88870496,198.6074981689453
CA,31493524,56.85930633544922,771470144,210.50466918945313
CO,3738061,82.58292388916016,92946544,167.35000610351563
CT,3265293,79.4721908569336,104315120,218.28050231933594
DE,718265,124.46659851074219,18237436,165.60000610351563
FL,14185403,93.074554443359375,333525344,187.71717834472656
GA,7188538,97.47462463378906,159800448,156.5730743408203
IA,2840860,92.40159606933594,60170928,190.88999938964844
ID,1165000,74.84978485107422,22868920,179.63751220703125
IL,11884935,83.26507568359375,304767456,198.47616577148438
IN,5791819,134.2583465576172,126525008,154.53375244140625
KS,2586942,88.7534408569336,56626672,175.2100067138672
KY,3855248,172.6477813720703,74079712,145.97967529296875
LA,4327978,105.17613220214844,84572688,167.79534912109375
MA,6062335,76.62064361572266,170051568,217.10501098632813
MD,5023650,77.47354888916016,135115456,186.03375244140625
ME,1237438,102.46977996826172,25045934,197.23065185546875
MI,9659871,81.38825225830078,231594240,240.84967041015625
MN,4605445,82.94529724121094,113216856,220.34866333007813
MO,5324610,122.45027923583984,117639672,157.23008728027344
MS,2690788,105.58245086669922,46241956,169.22940063476563
MT,868522,87.1595687866211,16296835,156.2166748046875
NC,7185403,121.5380630493164,157633568,149.99400329589844
ND,641548,79.80696868896484,12243384,192.24867248535156
NE,1635142,87.27070617675781,36293064,182.1750030517578
NH,1145604,156.3367462158203,28649564,166.64166259765625
NJ,7965523,80.371368408203125,233208576,203.08717346191406
NM,1682417,64.66886901855469,31716160,176.146240234375
NV,1525777,93.52611541748047,39377292,206.5991668701172
NY,18150928,70.81732177734375,503163328,221.85800170898438
OH,11155493,111.3801040649414,255312928,165.89125061035156
OK,3265547,108.68010711669922,63333300,170.13499450683594
OR,3141421,92.15574645996094,71209312,190.3000030517578
PA,12044780,95.6430892944336,285923232,176.1631622314453
RI,989203,92.59980010986328,23786644,224.45924377441406
SC,3699943,108.08274841308594,72050072,152.81874084472656
SD,728251,97.21923065185547,14454129,168.03799438476563
TN,5241168,122.32005310058594,114259984,167.06700134277344
TX,18679706,73.07930755615234,402096768,198.20233154296875
UT,1976774,49.27219772338867,37278220,180.97625732421875
VA,6601392,105.38687133789063,161441792,166.6612548828125
VT,582827,122.33475494384766,12448607,175.6387481689453
WA,5431024,65.53092193603516,129680832,239.10934448242188
WI,5137004,92.46634674072266,115959680,201.38125610351563
WV,1820560,115.56883239746094,32611268,166.51718139648438
WY,478447,112.2381362915039,10293195,158.54165649414063
